000001.SH,上证指数
399001.SZ,深证成指
399006.SZ,创业板指
002164.SZ,宁波东力
300428.SZ,四通新材
002748.SZ,世龙实业
002160.SZ,常铝股份
002195.SZ,二三四五
002346.SZ,柘中股份
000008.SZ,神州高铁
300433.SZ,蓝思科技
300432.SZ,富临精工
300374.SZ,恒通科技
300430.SZ,诚益通
002280.SZ,联络互动
002139.SZ,拓邦股份
002059.SZ,云南旅游
002058.SZ,威尔泰
300149.SZ,量子高科
002067.SZ,景兴纸业
300172.SZ,中电环保
002267.SZ,陕天然气
002600.SZ,江粉磁材
000527.SZ,美的电器
000528.SZ,柳工
000529.SZ,广弘控股
000530.SZ,大冷股份
000531.SZ,穗恒运A
000673.SZ,当代东方
000675.SZ,ST银山
000678.SZ,襄阳轴承
000679.SZ,大连友谊
300181.SZ,佐力药业
300095.SZ,华伍股份
300026.SZ,红日药业
300077.SZ,国民技术
000514.SZ,渝开发
000515.SZ,攀渝钛业
000516.SZ,国际医学
000517.SZ,荣安地产
000518.SZ,四环生物
000521.SZ,美菱电器
000522.SZ,白云山A
000523.SZ,广州浪奇
000525.SZ,红太阳
002302.SZ,西部建设
002570.SZ,贝因美
300167.SZ,迪威视讯
002101.SZ,广东鸿图
002222.SZ,福晶科技
300269.SZ,联建光电
002275.SZ,桂林三金
002153.SZ,石基信息
002167.SZ,东方锆业
002103.SZ,广博股份
002205.SZ,国统股份
002332.SZ,仙琚制药
002056.SZ,横店东磁
002230.SZ,科大讯飞
002272.SZ,川润股份
002116.SZ,中国海诚
002097.SZ,山河智能
002093.SZ,国脉科技
002186.SZ,全聚德
002206.SZ,海利得
002196.SZ,方正电机
002534.SZ,杭锅股份
002054.SZ,德美化工
300049.SZ,福瑞股份
002098.SZ,浔兴股份
000760.SZ,斯太尔
000761.SZ,本钢板材
000039.SZ,中集集团
000827.SZ,*ST长兴
000829.SZ,天音控股
000830.SZ,鲁西化工
000832.SZ,*ST龙涤
000833.SZ,贵糖股份
000835.SZ,长城动漫
000836.SZ,鑫茂科技
000762.SZ,西藏矿业
000763.SZ,锦州石化
000765.SZ,*ST华信
000766.SZ,通化金马
000767.SZ,漳泽电力
000768.SZ,中航飞机
000769.SZ,*ST大菲
000776.SZ,广发证券
000777.SZ,中核科技
000778.SZ,新兴铸管
000780.SZ,平庄能源
000782.SZ,美达股份
000783.SZ,长江证券
000792.SZ,盐湖股份
000793.SZ,华闻传媒
000797.SZ,中国武夷
000798.SZ,中水渔业
000800.SZ,一汽轿车
000801.SZ,四川九洲
000802.SZ,北京文化
000805.SZ,*ST炎黄
000850.SZ,华茂股份
000851.SZ,高鸿股份
002594.SZ,比亚迪
000807.SZ,云铝股份
000935.SZ,四川双马
000936.SZ,华西股份
000937.SZ,冀中能源
000938.SZ,紫光股份
000948.SZ,南天信息
000949.SZ,新乡化纤
000965.SZ,天保基建
000966.SZ,长源电力
000428.SZ,华天酒店
000058.SZ,深赛格
000060.SZ,中金岭南
000061.SZ,农产品
000062.SZ,深圳华强
000951.SZ,中国重汽
000952.SZ,广济药业
000955.SZ,欣龙控股
000956.SZ,中原油气
000957.SZ,中通客车
000958.SZ,东方能源
000959.SZ,首钢股份
000960.SZ,锡业股份
000961.SZ,中南建设
000963.SZ,华东医药
002016.SZ,世荣兆业
002017.SZ,东信和平
002018.SZ,华信国际
002020.SZ,京新药业
002022.SZ,科华生物
002023.SZ,海特高新
002672.SZ,东江环保
002490.SZ,山东墨龙
000065.SZ,北方国际
000069.SZ,华侨城A
000070.SZ,特发信息
000078.SZ,海王生物
000088.SZ,盐田港
000089.SZ,深圳机场
000090.SZ,天健集团
000096.SZ,广聚能源
002005.SZ,德豪润达
002024.SZ,苏宁云商
000099.SZ,中信海直
000151.SZ,中成股份
000153.SZ,丰原药业
000156.SZ,华数传媒
